epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8916,1.65017,2.7237,2.06061,1.4937,0.5711,0.47379,0.47669,0.30051,0.47028,0.49302,0.43638,0.27591,1.88778,4.01611,1.99615,1.54053,0.000547495,0.000547495,0.000547495
2,38.3734,1.54036,2.31167,1.45713,1.35196,0.58363,0.46529,0.49074,0.29561,0.59242,0.46505,0.45601,0.26739,1.84367,4.48614,2.05786,1.49621,0.00109588,0.00109588,0.00109588
3,51.2498,1.53406,2.11644,1.44463,1.36225,0.38196,0.43732,0.3,0.14428,0.38536,0.39655,0.2701,0.11133,2.10568,3.92434,3.31288,1.67694,0.00163693,0.00163693,0.00163693
4,64.5386,1.49749,2.14894,1.39921,1.32793,0.78465,0.47691,0.56123,0.36701,0.79052,0.48091,0.5427,0.37409,1.70944,3.08893,2.49468,1.38744,0.00163399,0.00163399,0.00163399
5,77.5087,1.4544,2.07117,1.31014,1.29077,0.65625,0.54931,0.58019,0.39305,0.67758,0.51717,0.52957,0.36947,1.68351,3.08408,2.04671,1.3734,0.00162299,0.00162299,0.00162299
6,91.7762,1.4518,2.01878,1.30621,1.30799,0.59775,0.52866,0.57343,0.3578,0.58901,0.51601,0.55499,0.35443,1.66644,2.73366,1.91605,1.33737,0.00161199,0.00161199,0.00161199
7,105.394,1.3906,1.97215,1.22198,1.26383,0.56223,0.57539,0.56756,0.38908,0.545,0.52485,0.49728,0.27917,1.63864,2.71041,1.75084,1.32488,0.00160099,0.00160099,0.00160099
8,118.4,1.38039,1.90201,1.197,1.25614,0.47797,0.48093,0.44385,0.24317,0.51712,0.34174,0.3471,0.16834,1.72022,2.77551,1.47915,1.34813,0.00158998,0.00158998,0.00158998
9,131.659,1.36438,1.88085,1.19022,1.25032,0.73062,0.58802,0.61361,0.43723,0.70123,0.57291,0.57566,0.40482,1.60684,2.94598,1.37574,1.30291,0.00157898,0.00157898,0.00157898
10,144.847,1.35582,1.8165,1.17413,1.23693,0.65312,0.56653,0.60047,0.38482,0.71008,0.53651,0.57111,0.38674,1.69092,3.08997,1.49907,1.35835,0.00156798,0.00156798,0.00156798
